Mineral_source,Mineral,Mineral_formula
K-montmorillonite No.11,K-montmorillonite,
orthoclase,orthoclase,KAlSi3O8
siderite,siderite,FeCO3
Na-illite No.35,Na-illite,
charcoal,,
opal,opal,SiO2·nH2O
bentonite/sand#4,,
clay#5,,
Na-bentonite+FA(10mg/L),Na-bentonite,
biotite#1,biotite,
Glaciofluvial minerals#2,,
Glaciofluvial minerals#1,,
zeolite,zeolite,
FEBEX,bentonite,
smectite#10,smectite,
limonite,goethite,FeOOH
sand#3-3,quartz,SiO2
montmorillonite#1,montmorillonite,
smectite/illite(43/57),smectite,
smectite#4,smectite,
biotite#2,biotite,
chrysocolla,chrysocolla,
limestone#1,calcite,CaCO3
smectite#5,smectite,
loess,loess,
sand#2-2,quartz,SiO2
Na-phlogopite#2-70%,Na-phlogopite,
MX-80+HA,bentonite,
Na-kaolinite No.4,Na-kaolinite,
Boom clay,,
smectite/illite(70/30),,
Na-bentonite#1,Na-bentonite,
FoCa 7 (clay),bentonite,
hornblende#1,hornblende,
mixture(goethite+mont.)#4,,
K-vermiculite,K-vermiculite,
montomorillonite/quartz(70/30),,
bentonite/quartz(30/70),,
clay gyttja type I,,
clay gyttja type II,,
galena,galena,PbD
smectite#6,smectite,
organic#8,,
bytownite,bytownite,
clinoptilolite/quartz#3,,
glaciofluvial minerals#1,,
argillite#6,argillite,
glaciofluvial minerals#3,,
attapulgite,attapulgite,
bentonite+zeolite(2:8),,
organic,,
alumina,alumina,Al2O3
zeolite#3,zeolite,
Na-clay,,
bentonite+FA,bentonite,
quartz#2,quartz,SiO2
Na-halloysite No.12,Na-halloysite,
organic#29,,
vermiculite,vermiculite,
Na-montmorillonite,Na-montmorillonite,
Na-phlogopite#1,Na-phlogopite,
gley,,
serpentine,serpentine,
Mg-montmorillonite No.21,Mg-montmorillonite,
anhydrite,anhydrite,CaSO4
Na-smectite+HA100,Na-smectite,
muscovite,muscovite,
Na-smectite+HA10,Na-smectite,
zeolite+FA,zeolite,
Si oxide#1,quartz,siO2
smectite#11,smectite,
glaciofluvial minerals#4,,
mordenite,mordenite,
organic#6,,
hornblende#2,hornblende,
Na-clinoptilolite,Na-clinoptilolite,
ferrihydrite,ferrihydrite,Fe(OH)3
Ca-smectite,Ca-smectite,
bentonite/quartz(70/30),,
allophane,allophane,
gypsum,gypsum,CaSO4*2H2O
alumina+FA,corundum,Al2O3
bentonite/fly ash#9,bentonite,
Al2O3+5HA,Al2O3,Al2O3
bentonite+20FA,bentonite,
Na-illite#2,Na-illite,
montmorillonite(Swy-2),montmorillonite,
montmorillonite/sand,,
kaolinite,kaolinite,
TiO2,TiO2,TiO2
argillite#10,argillite,
a-Al2O3#1,corundum,Al2O3
Al-oxide,alumina,Al2O3
SiO2,quartz,SiO2
Al2O3+50HA,Al2O3,Al2O3
Na/Ca-montmorillonite,montmorillonite,
quartz,quartz,siO2
H-kaolinite,kaolinite,
argillite#11,argillite,
enstatite,enstatite,MgSiO3
glaciofluvial minerals#2,,
clinoptilolite#2,clinoptilolite,
bentonite+50FA,bentonite,
K-vermiculite#2,K-vermiculite,
hydrogarnet,hydrogarnet,
Ca-montmorillonite(No.21),Ca-montmorillonite,
sand#4-3,quartz,siO2
zeolite#1,zeolite,
argillite#1,argillite,
argillite#2,argillite,
illite#1,illite,
secondary mineral,,
sericite,mica,
Ca-kaolinite,Ca-kaolinite,
MX-80#1,bentonite,
bentonite#2,bentonite,
hematite#2,hematite,Fe2O3
Kunigel V1,bentonite,
clinoptilolite/quartz#2,clinoptilolite,
Natural-vermiculite,vermiculite,
FeOOH,goethite,FeOOH
Ca-montmorillonite,Ca-montmorillonite,
claystone,,
sand#2-3,quartz,SiO2
sand#1-1,quartz,SiO2
SJ clay,,
hornblendite,hornblendite,
clay#7,,
RC clay,,
